SampleID	Cohort	n_misassemblies	misassembly_type_counts	n_misassemblies_lifted_to_h37rv	n_misassemblies_not_lifted	n_misassemblies_overlapping_hotspot	n_misassemblies_overlapping_pr
mada_1-50	Mtb151	0	{}	0	0	0	0
mada_1-51	Mtb151	0	{}	0	0	0	0
mada_1-53	Mtb151	0	{}	0	0	0	0
mada_102	Mtb151	0	{}	0	0	0	0
mada_103	Mtb151	0	{}	0	0	0	0
mada_105	Mtb151	0	{}	0	0	0	0
mada_107	Mtb151	6	{'deletion': 4, 'het_or_mismap': 1, 'softclip': 1}	6	0	2	3
mada_112	Mtb151	0	{}	0	0	0	0
mada_115	Mtb151	0	{}	0	0	0	0
mada_117	Mtb151	1	{'softclip': 1}	0	1	0	0
mada_118	Mtb151	0	{}	0	0	0	0
mada_120	Mtb151	0	{}	0	0	0	0
mada_122	Mtb151	1	{'het_or_mismap': 1}	1	0	0	0
mada_123	Mtb151	0	{}	0	0	0	0
mada_124	Mtb151	3	{'het_or_mismap': 2, 'softclip': 1}	0	3	0	0
mada_126	Mtb151	0	{}	0	0	0	0
mada_128	Mtb151	0	{}	0	0	0	0
mada_129	Mtb151	0	{}	0	0	0	0
mada_139	Mtb151	0	{}	0	0	0	0
mada_151	Mtb151	0	{}	0	0	0	0
mada_2-1	Mtb151	0	{}	0	0	0	0
mada_2-25	Mtb151	0	{}	0	0	0	0
mada_2-31	Mtb151	0	{}	0	0	0	0
mada_2-42	Mtb151	1	{'homopolymer': 1}	1	0	0	0
mada_2-46	Mtb151	31	{'het_or_mismap': 15, 'homopolymer': 12, 'deletion': 3, 'simple_repeat': 1}	0	31	0	0
mada_2-53	Mtb151	0	{}	0	0	0	0
